provider,source,model,voice_id,settings
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-AntonioNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-FabioNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-DonatoNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-HumbertoNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-NicolauNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-FranciscaNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-BrendaNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-ElzaNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-GiovannaNeural,"SSML, 16 kHz PCM output"
Azure AI Speech,commercial,pt-BR *Neural voices,pt-BR-LeticiaNeural,"SSML, 16 kHz PCM output"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Neural2-A,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Neural2-C,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Wavenet-A,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Wavenet-D,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Standard-A,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Neural2-B,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Wavenet-B,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Wavenet-C,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Wavenet-E,"LINEAR16, 16 kHz"
Google Cloud TTS,commercial,pt-BR Neural2 / WaveNet / Standard,pt-BR-Standard-B,"LINEAR16, 16 kHz"
OpenAI TTS,commercial,tts-1-hd,onyx,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,echo,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,fable,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,ash,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,nova,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,shimmer,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,alloy,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,coral,"PCM 24 kHz, resampled to 16 kHz"
OpenAI TTS,commercial,tts-1-hd,sage,"PCM 24 kHz, resampled to 16 kHz"
ElevenLabs,commercial,eleven_multilingual_v2,36rVQA1AOIPwpA3Hg1tC,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,tS45q0QcrDHqHoaWdCDR,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,CstacWqMhJQlnfLPxRG4,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,hwnuNyWkl9DjdTFykrN6,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,YNOujSUmHtgN6anjqXPf,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,33B4UnXyTNbgLmdEDh5P,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,lWq4KDY8znfkV0DrK8Vb,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,oJebhZNaPllxk6W0LSBA,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,RGymW84CSmfVugnA5tvA,"stability 0.5, similarity_boost 0.75, pcm_16000"
ElevenLabs,commercial,eleven_multilingual_v2,cyD08lEy76q03ER1jZ7y,"stability 0.5, similarity_boost 0.75, pcm_16000"
F5-TTS pt-BR,open-source,firstpixel/F5-TTS-pt-br,f5_ptbr_male,zero-shot cloning of two ~8 s Azure reference clips
F5-TTS pt-BR,open-source,firstpixel/F5-TTS-pt-br,f5_ptbr_female,zero-shot cloning of two ~8 s Azure reference clips
