id,set,text
1,detection set (all 57 voices),"No total, sete mísseis foram disparados contra o encrave."
2,detection set (all 57 voices),"Até agora, na televisão, eles já somam quatro ministros."
3,detection set (all 57 voices),Os dois times perderam uma chance atrás da outra.
4,detection set (all 57 voices),Os médicos ainda não sabem quanto tempo ele deverá ficar no hospital.
5,detection set (all 57 voices),"Tenho muita vontade de aprender, mas baixo poder aquisitivo."
6,detection set (all 57 voices),"Apesar disso, continua ligado ao seu país de origem."
7,detection set (all 57 voices),Evite correr ao banco para trocar o seu dinheiro.
8,detection set (all 57 voices),"Em grande fase, é a nova sensação do time."
9,detection set (all 57 voices),Respondeu que a sua frase havia sido tirada do contexto.
10,detection set (all 57 voices),Na Universidade de Paris Três é só isso que se faz.
11,detection set (all 57 voices),A Coréia exporta um bilhão de dólares em móveis por ano.
12,detection set (all 57 voices),"A polícia apreendeu nos últimos vinte dias, sessenta carros a seu serviço."
13,detection set (all 57 voices),"Segundo ele, foi apenas um almoço rápido entre amigos."
14,detection set (all 57 voices),É muito raro que algum documentário esteja na lista deles.
15,detection set (all 57 voices),O novo presidente seria conhecido quatro dias após a votação.
16,detection set (all 57 voices),"Segundo Almeida, é praticamente impossível controlar o fogo sem ajuda exterior."
17,detection set (all 57 voices),A justiça brasileira considerou o fato apenas um crime comum.
18,detection set (all 57 voices),A decisão está para ser tomada em fevereiro ou março.
19,detection set (all 57 voices),A melhoria da qualidade não interessa só a técnicos ou empresários.
20,detection set (all 57 voices),No final era um monte de homens se abraçando e chorando.
21,detection set (all 57 voices),A margem de erro é de três pontos percentuais.
22,detection set (all 57 voices),Juliana disse que o banco a ser escolhido é surpresa.
23,detection set (all 57 voices),O vencedor de cada grupo ganha um ponto extra.
24,detection set (all 57 voices),Estava muito calor e não soubemos dosar a energia.
25,detection set (all 57 voices),"Segundo ele, a cabine não faz parte do edifício."
26,detection set (all 57 voices),Esse nosso sintetizador de voz vai ficar uma beleza.
27,detection set (all 57 voices),Empresa que serve ao Ministério da Fazenda aluga comitê aos tucanos.
28,detection set (all 57 voices),Os grandes bancos estão procurando apoiar as pequenas instituições.
29,detection set (all 57 voices),Outro obstáculo às relações afetivas é a competitividade interna.
30,detection set (all 57 voices),"Sem a retirada, os muçulmanos não compareceram às negociações."
31,detection set (all 57 voices),"Ele, ainda meio confuso, volta para perto da Constituição."
32,detection set (all 57 voices),Itamar pode faltar a Mercosul para ir à posse do presidente colombiano.
33,detection set (all 57 voices),Tem lucro de um bilhão de dólares por ano.
34,detection set (all 57 voices),"Os belgas reclamaram, mas o juiz não deu o pênalti."
35,detection set (all 57 voices),O Brasil está perdendo pouco a pouco a sua identidade.
36,detection set (all 57 voices),É mais importante saber o que fazem os jogadores no campo.
37,detection set (all 57 voices),Comprei um jogo de canetas e fui visitá-lo em sua casa.
38,detection set (all 57 voices),Meu tipo inesquecível é o advogado Francisco Rangel Pestana.
39,detection set (all 57 voices),"Empregado do Parlamento Europeu, ele tinha ligações com a bancada socialista."
40,detection set (all 57 voices),As entradas podem ser adquiridas pelo telefone acima.
41,detection set (all 57 voices),Aliados do tucano prevêem que essas lideranças ficarão neutras.
42,detection set (all 57 voices),Perdemos uma ótima oportunidade de fazer a revisão constitucional.
43,detection set (all 57 voices),Trabalhamos exclusivamente com tipos que fogem do padrão tradicional de beleza.
44,detection set (all 57 voices),"Não há, assim, motivo de temor para o Brasil."
45,detection set (all 57 voices),"No dia de seu aniversário, Rose não saiu de casa."
46,detection set (all 57 voices),Somente na última rodada serão definidas as colocações das equipes.
47,detection set (all 57 voices),Em abril a taxa foi de dois vírgula seis por cento.
48,detection set (all 57 voices),Sem falar nos que ainda não acertaram o fornecimento dos motores.
49,detection set (all 57 voices),Ser progressista hoje é ligar o pensamento liberal com a social democracia.
50,detection set (all 57 voices),"São tantas, que você aprende a conviver com elas."
